num_competitors,avg_competitor_rating,min_competitor_distance_m,max_competitor_rating,rating_variance,competitor_density,category_encoded,avg_product_price_idr,num_products,radius_meters,num_goals,area_wealth_index,competition_density_score,location_appeal_score,market_demand_score,concept_uniqueness_score,success_score
4,3.7,400,4.0,0.28,5.09,4,7000,20,500,2,1.225,48,72,63,53,60
2,3.7,400,4.0,0.18,0.64,3,7000,3,1000,2,1.272,72,79,68,69,72
10,4.4,25,4.9,0.38,35.37,2,25000,5,300,2,1.012,13,40,66,19,34
6,3.8,350,4.2,0.35,1.91,3,7000,3,1000,2,1.203,33,86,68,41,57
4,4.0,300,4.3,0.22,1.27,3,7000,3,1000,2,1.304,48,71,68,53,60
8,4.1,30,4.6,0.3,63.66,1,15000,5,200,3,1.024,22,25,71,27,36
12,4.3,80,4.8,0.4,15.28,3,8000,3,500,2,1.304,7,41,68,12,32
4,3.7,150,4.0,0.2,5.09,3,10000,4,500,2,0.629,48,58,70,53,57
0,0.0,0,0.0,0.0,0.0,2,15000,4,500,2,0.394,91,77,66,87,80
3,4.1,80,4.5,0.2,23.87,1,20000,3,200,2,1.462,50,33,71,61,53
9,4.4,30,4.9,0.33,31.83,0,25000,8,300,3,1.683,17,38,82,23,40
1,4.6,50,4.6,0.0,7.96,0,28000,6,200,2,1.618,65,25,82,65,59
6,4.2,70,4.7,0.33,21.22,2,28000,5,300,2,1.38,33,38,66,40,44
2,4.1,300,4.3,0.15,2.55,4,5000,30,500,3,1.225,72,66,63,67,67
0,0.0,0,0.0,0.0,0.0,3,7000,3,500,2,1.225,91,77,68,87,81
5,4.2,80,4.6,0.24,17.68,0,20000,5,300,2,1.309,40,35,75,47,49
1,3.8,180,3.8,0.0,7.96,1,20000,3,200,2,1.304,82,50,71,75,70
0,0.0,0,0.0,0.0,0.0,1,50000,2,200,1,0.286,91,77,50,87,76
3,4.0,100,4.4,0.2,23.87,4,8000,20,200,2,1.462,58,38,61,61,55
1,4.0,100,4.0,0.0,1.27,3,8000,3,500,2,1.203,82,38,68,75,66
4,4.2,60,4.6,0.22,31.83,1,25000,4,200,2,1.304,48,34,71,53,51
10,4.2,20,4.7,0.35,79.58,1,25000,5,200,2,1.529,13,25,78,19,33
3,3.6,200,4.0,0.25,3.82,3,8000,2,500,1,1.187,58,60,68,62,62
9,4.0,200,4.4,0.35,2.87,3,7000,2,1000,1,1.212,17,64,68,23,43
0,0.0,0,0.0,0.0,0.0,0,50000,10,300,4,1.928,91,77,80,87,84
1,4.5,90,4.5,0.0,7.96,1,18000,4,200,2,1.447,65,25,71,65,57
12,4.4,15,4.9,0.32,95.49,1,20000,3,200,1,1.241,7,25,71,12,29
8,4.2,60,4.7,0.28,63.66,4,5000,20,200,3,1.446,22,35,63,27,35
